"%s was added to your shopping cart.","%s a fost adăugată în coșul de cumpărături."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"* Required Fields","* Câmpuri obligatorii"
"Add New Address","Adaugă o adresă nouă"
"Add New Condition","Add New Condition"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","Add gift messages to shopping cart"
"Add product to shopping cart","Add product to shopping cart"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","Adaugă în coș"
"Add to Compare","Adaugă la comparare"
"Add to Wishlist","Adaugă în lista de dorințe"
"Additional Product Info","Additional Product Info"
"Address","Adresă"
"Address %s of %s","Adresa %s a %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","Allow Guest Checkout"
"Already registered?","Already registered?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","Aplică Cuponul"
"Are you sure you would like to remove this item from the shopping cart?","Sunteți sigur că doriți să eliminați acest produs din coșul de cumpărături?"
"Back","Înapoi"
"Back to Billing Information","Înapoi la Informațiile de Facturare"
"Back to Select Addresses","Înapoi la Selectarea Adreselor"
"Back to Shipping Information","Înapoi la Informațiile de Livrare"
"Back to Shopping Cart","Înapoi la coșul de cumpărături"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing Address","Adresă de Facturare"
"Billing Information","Informatii de Facturare"
"Billing Information - %s","Informatii de Facturare - %s"
"Cancel Coupon","Cancel Coupon"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","Cannot add the item to shopping cart."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","Cannot remove the item."
"Cannot update shopping cart.","Cannot update shopping cart."
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","Card Verification Number Visual Reference"
"Cart Product API","Cart Product API"
"Cart Subtotal:","Subtotal Coș:"
"Change","Modifică"
"Change Billing Address","Modifică adresa de facturare"
"Checkbox Text","Checkbox Text"
"Checkout","Finalizare Comandă"
